t_i,min_t,max_t,length_t,g_mse,g_pct_min,k4_mse,k4_pct_min,l_mse,l_pct_min
1,1,51,11,12785.738347028218,1.0032621993145012,15607.804685371808,1.0333376132241798,13313.046446640916,1.007603578840842
2,1,51,13,12826.30142804679,1.0064450742309994,15612.530340963449,1.0336504821873955,13312.979156773297,1.0075984859786105
3,1,51,15,12812.053798219678,1.0053271013734766,15565.968311218632,1.030567774679627,13313.172227694915,1.0076130986333753
4,1,51,17,12863.895263767097,1.0093949605247534,15596.755125644879,1.0326060609075298,13312.901850288654,1.0075926350044622
5,1,51,19,12837.747763544237,1.0073432371226192,15552.316040150918,1.029663906039252,13313.074159910962,1.0076056763314645
6,1,51,21,12826.757494204296,1.0064808605050333,15562.408442693508,1.0303320883599107,13313.08520109074,1.0076065119878488
7,1,51,23,12853.753095838376,1.008599132123936,15558.6407678033,1.0300826439148438,13312.9766349716,1.0075982951149771
8,1,51,25,12860.589323924587,1.0091355523946028,15580.636955451393,1.0315389337968934,13312.887538845565,1.0075915518368093
9,1,51,27,12849.761409230096,1.0082859153055637,15548.285404129323,1.0293970518665936,13313.088354410416,1.007606750648189
10,1,51,29,12853.339169385874,1.0085666524382253,15551.03657717014,1.0295791973150326,13313.053614024882,1.007604121307344
11,1,51,31,12853.593367657562,1.0085865986869436,15557.903614609817,1.0300338396059172,13313.01012615555,1.0076008299094694
12,1,51,33,12852.125533399412,1.0084714217150634,15544.764171822851,1.029163923514431,13313.108231528837,1.007608255056345
13,1,51,35,12867.020817767798,1.009640214267299,15575.391789634687,1.0311916698968602,13312.814506191746,1.0075860243293633
14,1,51,37,12863.06626560126,1.0093299112878213,15553.361341418726,1.0297331117436386,13312.97449240553,1.0075981329539536
15,1,51,39,12858.006585882908,1.0089328919476563,15549.404971991873,1.0294711744998692,13312.984259439818,1.007598872176095
16,1,51,41,12852.940401138578,1.0085353621757516,15548.152063892772,1.0293882238805596,13312.98856346863,1.007599197928345
17,1,51,43,12853.387151438606,1.0085704174597239,15551.158313080663,1.029587257019633,13312.985262921928,1.007598948125065
18,1,51,45,12867.164932882077,1.0096515225893203,15551.516657484432,1.0296109817367451,13312.969717005508,1.0075977715257731
19,1,51,47,12867.230955869136,1.009656703233989,15567.394864473054,1.030662221731264,13312.924936936579,1.007594382327223
20,1,51,49,12861.981000262134,1.009244753461076,15564.900321118348,1.030497066827791,13312.86907124668,1.0075901541087382
21,1,51,51,12859.559488824154,1.0090547440283004,15548.070846354012,1.0293828467542214,13312.979292533224,1.0075984962536584
22,1,50,11,12786.308046588525,1.003306902093356,15568.501633642174,1.0307354970082592,13314.150599351873,1.0076871471080755
23,1,50,13,12798.578905485732,1.0042697630991542,15512.729882069332,1.0270430463518498,13313.883029998799,1.0076668960078614
24,1,50,15,12803.638402981227,1.004666768140786,15515.061615693965,1.0271974221982243,13314.12000628854,1.007684831659074
25,1,50,17,12819.067703277155,1.0058774634740262,15495.17792701007,1.0258809934101343,13313.868123171074,1.0076657677782692
26,1,50,19,12806.5823358324,1.0048977705644815,15508.54017495935,1.026765660644352,13314.027503150553,1.0076778305197585
27,1,50,21,12845.118979135335,1.0079216364113286,15527.156135977488,1.0279981576619748,13313.709936310755,1.0076537953385107
28,1,50,23,12841.346550123017,1.0076256241416472,15515.52997135231,1.0272284303718842,13313.856880496853,1.0076649168716922
29,1,50,25,12831.172620412848,1.006827303480012,15478.08383136179,1.0247492537226193,13313.856928835445,1.007664920530219
30,1,50,27,12822.89217784381,1.0061775596171525,15504.875575095839,1.0265230404326877,13314.013680343878,1.00767678433476
31,1,50,29,12822.111904388486,1.0061163336760601,15488.795020380714,1.0254584037099959,13314.032750570395,1.0076782276729594
32,1,50,31,12821.474270834615,1.006066300301041,15494.226662630874,1.025818013555955,13314.030580792745,1.0076780634524158
33,1,50,33,12808.950972011246,1.0050836310191278,15474.437759528722,1.0245078601863997,13314.224885596132,1.0076927694940465
34,1,50,35,12840.92979861865,1.0075929227817813,15502.715727348734,1.0263800445430726,13313.80919129415,1.007661307494116
35,1,50,37,12836.330159929421,1.0072320016130416,15491.858942844048,1.0256612551929039,13313.920918415472,1.0076697636087812
36,1,50,39,12830.97039794692,1.006811435631757,15487.559087498734,1.0253765769598464,13313.914469754374,1.0076692755391252
37,1,50,41,12836.582578178568,1.0072518081882205,15496.696520837879,1.0259815341429996,13313.911066191433,1.0076690179390173
38,1,50,43,12839.268071387432,1.0074625315543524,15486.914145880624,1.0253338776535852,13313.975700661513,1.0076739098263574
